item1,item2,item3,item4,item5,item6,item7
Butter,Milk,Beer,,,,
Eggs,Beer,Milk,,,,
Diaper,Bread,Coke,Chips,,,
Diaper,Butter,Bread,Beer,Milk,,
Diaper,Bread,Chips,Beer,Coke,Eggs,
Diaper,Milk,Butter,Coke,Eggs,,
Beer,Diaper,Butter,Milk,Coke,Bread,
Eggs,Milk,Beer,Bread,Butter,,
Bread,Milk,Beer,Eggs,Diaper,Chips,
Butter,Eggs,,,,,
Chips,Eggs,Bread,Butter,Coke,,
Butter,Chips,Eggs,,,,
Coke,Milk,Beer,Butter,,,
Eggs,Beer,Chips,Coke,Milk,,
Chips,Coke,Eggs,Diaper,,,
Bread,Coke,Butter,Eggs,Chips,Diaper,
Bread,Diaper,Chips,Eggs,,,
Chips,Coke,Butter,,,,
Beer,Chips,Eggs,Coke,,,
Chips,Milk,Butter,Coke,Beer,,
Diaper,Coke,Butter,,,,
Butter,Diaper,Bread,Beer,Eggs,Coke,
Chips,Milk,Bread,Coke,Butter,Beer,
Coke,Butter,Diaper,Bread,Eggs,Beer,
Milk,Diaper,Beer,,,,
Milk,Chips,Butter,Bread,Coke,Beer,
Coke,Bread,Beer,Eggs,Diaper,Chips,
Milk,Coke,Beer,Butter,Chips,,
Chips,Diaper,,,,,
Bread,Eggs,Coke,,,,
Milk,Chips,,,,,
Bread,Butter,,,,,
Chips,Beer,Coke,Milk,Bread,Butter,
Chips,Butter,Diaper,Beer,Bread,,
Butter,Bread,Milk,Chips,Beer,,
Butter,Bread,Milk,Chips,Beer,,
Beer,Diaper,Butter,,,,
Butter,Diaper,Eggs,Beer,,,
Bread,Chips,Coke,Beer,Butter,Milk,
Butter,Coke,Chips,Diaper,,,
Butter,Beer,Eggs,Milk,Coke,Bread,
Coke,Diaper,Beer,Butter,,,
Beer,Diaper,Milk,Chips,Coke,,
Bread,Beer,Butter,Eggs,,,
Butter,Chips,,,,,
Butter,Bread,,,,,
Milk,Eggs,,,,,
Beer,Milk,Eggs,Chips,Coke,,
Diaper,Milk,Beer,Coke,,,
Butter,Coke,Eggs,,,,
Eggs,Diaper,Coke,Milk,,,
Beer,Milk,,,,,
Beer,Eggs,,,,,
Chips,Beer,Bread,Coke,Eggs,,
Chips,Coke,Bread,,,,
Diaper,Beer,Eggs,Coke,Chips,,
Eggs,Bread,Butter,Chips,Beer,Milk,
Eggs,Chips,Coke,Bread,,,
Coke,Butter,Diaper,Beer,Milk,,
Chips,Diaper,Milk,Beer,Butter,Bread,
Milk,Eggs,Bread,,,,
Diaper,Butter,Chips,Milk,,,
Milk,Bread,,,,,
Milk,Beer,,,,,
Coke,Butter,,,,,
Butter,Milk,,,,,
Coke,Diaper,Butter,,,,
Coke,Eggs,,,,,
Diaper,Coke,Beer,Chips,Eggs,,
Bread,Butter,,,,,
Bread,Chips,,,,,
Butter,Diaper,Milk,,,,
Bread,Eggs,,,,,
Chips,Milk,Eggs,,,,
Eggs,Butter,Chips,Milk,Coke,,
Eggs,Diaper,,,,,
Eggs,Bread,Diaper,,,,
Bread,Chips,Milk,Beer,Butter,Eggs,
Bread,Diaper,Coke,,,,
Diaper,Eggs,Milk,Beer,,,
Coke,Bread,,,,,
Coke,Bread,Beer,Butter,Eggs,,
Milk,Chips,Bread,Diaper,Eggs,Beer,
Butter,Milk,Eggs,,,,
Milk,Chips,Diaper,Butter,,,
Diaper,Bread,Coke,,,,
Milk,Bread,Eggs,Beer,,,
Diaper,Butter,Coke,Eggs,Beer,Chips,
Coke,Diaper,Beer,,,,
Butter,Bread,Milk,Beer,Coke,,
Chips,Coke,,,,,
Diaper,Bread,Beer,Coke,Eggs,,
Diaper,Chips,Bread,Beer,,,
Eggs,Butter,Beer,,,,
Coke,Butter,,,,,
Chips,Eggs,Beer,Milk,Bread,,
Coke,Diaper,,,,,
Chips,Diaper,Coke,Beer,,,
Beer,Butter,,,,,
Bread,Eggs,Milk,,,,
Chips,Beer,Diaper,Milk,Coke,Bread,
Coke,Bread,Diaper,,,,
Milk,Diaper,Chips,,,,
Coke,Diaper,,,,,
Bread,Beer,Coke,Chips,Milk,,
Chips,Butter,,,,,
Chips,Coke,Bread,Milk,Eggs,Beer,
Butter,Coke,Beer,Bread,Eggs,Chips,
Eggs,Coke,Diaper,,,,
Eggs,Diaper,Milk,Bread,Chips,Butter,
Bread,Beer,,,,,
Bread,Eggs,Diaper,Butter,Chips,Coke,
Coke,Beer,Bread,,,,
Milk,Beer,,,,,
Milk,Bread,Eggs,Chips,Coke,Diaper,
Coke,Bread,Beer,Diaper,,,
Bread,Chips,,,,,
Beer,Milk,Eggs,Chips,Diaper,Coke,
Bread,Coke,Eggs,Diaper,,,
Diaper,Butter,Milk,Coke,Chips,Beer,
Beer,Chips,Milk,Diaper,Coke,,
Diaper,Beer,Eggs,,,,
Milk,Butter,Coke,Beer,Eggs,,
Diaper,Milk,Coke,,,,
Eggs,Butter,Beer,Coke,Diaper,Chips,
Bread,Chips,Coke,Diaper,Butter,Beer,
Chips,Milk,Coke,Diaper,Butter,,
Coke,Milk,Eggs,Chips,,,
Beer,Butter,Bread,Chips,,,
Diaper,Butter,Bread,Chips,,,
Butter,Coke,Diaper,Chips,Eggs,,
Chips,Diaper,,,,,
Chips,Eggs,Bread,Coke,,,
Chips,Diaper,Beer,Bread,Butter,Coke,
Bread,Chips,Coke,Eggs,,,
Butter,Beer,Milk,,,,
Bread,Eggs,,,,,
Eggs,Chips,Milk,,,,
Diaper,Bread,Beer,,,,
Chips,Milk,Eggs,,,,
Eggs,Bread,Beer,Coke,,,
Coke,Eggs,Milk,Beer,Bread,,
Chips,Diaper,Milk,Eggs,Bread,,
Coke,Bread,Milk,Beer,,,
Milk,Beer,,,,,
Bread,Eggs,Beer,Milk,,,
Bread,Butter,Eggs,Chips,Beer,Diaper,
Bread,Eggs,Diaper,Milk,,,
Chips,Butter,Bread,Eggs,Diaper,Milk,
Diaper,Milk,Bread,Chips,Beer,,
Milk,Bread,Butter,Chips,,,
Bread,Diaper,Milk,Beer,Eggs,Chips,
Chips,Milk,,,,,
Eggs,Milk,Beer,,,,
Diaper,Butter,Bread,Beer,,,
Coke,Beer,Eggs,,,,
Bread,Beer,Coke,Milk,Eggs,,
Bread,Coke,Chips,Butter,Milk,,
Milk,Beer,Coke,Eggs,,,
Butter,Beer,Bread,Coke,Chips,,
Chips,Milk,Eggs,Butter,Coke,Bread,
Coke,Butter,,,,,
Milk,Bread,Eggs,,,,
Chips,Bread,Beer,Diaper,Milk,,
Chips,Bread,Coke,Eggs,,,
Chips,Bread,,,,,
Milk,Coke,Diaper,Chips,Bread,,
Bread,Eggs,Diaper,Butter,Beer,,
Beer,Chips,,,,,
Bread,Coke,Beer,Eggs,Chips,Butter,
Eggs,Butter,,,,,
Beer,Diaper,,,,,
Beer,Milk,Eggs,Coke,,,
Diaper,Butter,Chips,,,,
Chips,Beer,Diaper,Eggs,,,
Chips,Butter,,,,,
Butter,Milk,Coke,Beer,Diaper,Eggs,
Beer,Butter,,,,,
Eggs,Milk,Diaper,Bread,Coke,,
Milk,Eggs,Coke,Butter,Chips,,
Coke,Butter,Chips,Diaper,,,
Beer,Coke,Milk,Butter,,,
Butter,Milk,,,,,
Chips,Beer,Milk,,,,
Bread,Chips,Butter,Diaper,,,
Bread,Coke,,,,,
Butter,Chips,Beer,Milk,Bread,,
Beer,Milk,Coke,,,,
Bread,Milk,Chips,Butter,Eggs,Diaper,
Diaper,Beer,,,,,
Coke,Chips,Diaper,Milk,Bread,,
Bread,Beer,Milk,Eggs,Diaper,Coke,
Diaper,Butter,Beer,Bread,Eggs,,
Eggs,Diaper,Coke,Bread,Butter,Milk,
Diaper,Chips,,,,,
Chips,Bread,Eggs,Coke,Beer,Diaper,
Bread,Chips,Coke,Eggs,Beer,Milk,
Butter,Diaper,,,,,
Eggs,Bread,,,,,
Chips,Coke,Eggs,Milk,Beer,,
Beer,Eggs,Butter,Coke,Chips,Bread,
Diaper,Milk,Bread,Butter,,,
Beer,Butter,,,,,
Butter,Chips,Milk,,,,
Beer,Butter,,,,,
Bread,Milk,Chips,,,,
Milk,Chips,,,,,
Diaper,Chips,Milk,Eggs,Butter,Bread,
Milk,Chips,Eggs,,,,
Chips,Coke,Milk,,,,
Beer,Eggs,Butter,,,,
Beer,Coke,Bread,Eggs,Milk,Chips,
Chips,Coke,Milk,Beer,Eggs,,
Diaper,Chips,Coke,Beer,,,
Eggs,Beer,Diaper,,,,
Diaper,Eggs,Milk,Chips,Butter,Beer,
Bread,Eggs,,,,,
Beer,Butter,Coke,Eggs,Bread,,
Butter,Diaper,Coke,Chips,Eggs,,
Butter,Chips,,,,,
Beer,Eggs,Diaper,,,,
Butter,Milk,Beer,,,,
Bread,Eggs,,,,,
Coke,Bread,,,,,
Milk,Coke,,,,,
Eggs,Chips,Milk,Bread,,,
Beer,Chips,Coke,Bread,,,
Butter,Chips,Diaper,Coke,,,
Coke,Butter,,,,,
Chips,Milk,Eggs,Diaper,Coke,Butter,
Coke,Diaper,,,,,
Beer,Butter,Chips,,,,
Milk,Beer,Bread,,,,
Butter,Eggs,Diaper,Chips,Milk,,
Butter,Bread,Coke,Chips,,,
Beer,Diaper,,,,,
Coke,Bread,Chips,Butter,Eggs,,
Milk,Chips,,,,,
Coke,Diaper,Bread,,,,
Milk,Diaper,Coke,Eggs,Butter,Beer,
Diaper,Bread,,,,,
Beer,Milk,,,,,
Milk,Chips,Beer,Coke,,,
Beer,Chips,Diaper,Coke,Bread,Milk,
Bread,Diaper,Beer,Butter,,,
Bread,Diaper,Chips,Milk,Beer,Coke,
Eggs,Chips,,,,,
Eggs,Milk,Diaper,,,,
Butter,Eggs,Diaper,Bread,,,
Beer,Chips,Bread,Diaper,Eggs,,
Beer,Coke,Butter,Bread,Eggs,,
Eggs,Chips,Butter,Milk,Beer,,
Chips,Beer,Diaper,,,,
Coke,Beer,Milk,Bread,Butter,Eggs,
Coke,Milk,Chips,Beer,Bread,,
Butter,Beer,,,,,
Eggs,Coke,Butter,Beer,Diaper,,
Bread,Butter,Eggs,Beer,Diaper,Coke,
Coke,Beer,Chips,Eggs,,,
Milk,Butter,,,,,
Milk,Eggs,Beer,Chips,Diaper,Coke,
Chips,Beer,Butter,,,,
Beer,Diaper,Butter,Chips,Milk,Coke,
Bread,Diaper,Chips,Eggs,,,
Milk,Eggs,Beer,,,,
Milk,Eggs,Bread,,,,
Eggs,Milk,Chips,,,,
Coke,Butter,Diaper,,,,
Eggs,Butter,,,,,
Bread,Chips,,,,,
Diaper,Bread,,,,,
Diaper,Beer,Milk,Coke,Chips,,
Diaper,Bread,Milk,Beer,,,
Butter,Beer,,,,,
Milk,Eggs,Bread,,,,
Beer,Butter,,,,,
Chips,Butter,Milk,Diaper,,,
Butter,Coke,Bread,Beer,,,
Milk,Chips,Bread,,,,
Chips,Coke,Eggs,Bread,Beer,Milk,
Butter,Chips,Eggs,,,,
Chips,Bread,Beer,Butter,Diaper,,
Coke,Diaper,,,,,
Coke,Butter,,,,,
Coke,Eggs,Milk,Butter,Bread,Diaper,
Butter,Coke,Chips,,,,
Chips,Eggs,Diaper,Beer,Milk,Coke,
Chips,Milk,,,,,
Eggs,Butter,Diaper,,,,
Milk,Chips,Bread,Eggs,Butter,Coke,
Chips,Bread,Butter,,,,
Bread,Diaper,Chips,,,,
Coke,Bread,Butter,Chips,,,
Butter,Diaper,Eggs,Beer,,,
Beer,Diaper,,,,,
Bread,Chips,Butter,,,,
Diaper,Eggs,Beer,,,,
Coke,Beer,Diaper,,,,
Milk,Bread,Diaper,Butter,Chips,Eggs,
Eggs,Diaper,Butter,Coke,,,
Butter,Chips,,,,,
Butter,Coke,Eggs,Chips,Milk,Bread,
